epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
56,31506.1,0.28132,1.27709,0.80483,0.50145,0.95714,0.55605,0.55142,0.20596,1.03169,0.777,2.0042e-05,2.0042e-05,2.0042e-05
57,32057.9,0.27962,1.27265,0.8041,0.50055,0.95772,0.55674,0.55232,0.20332,1.02782,0.77677,1.96064e-05,1.96064e-05,1.96064e-05
58,32608.9,0.27879,1.26229,0.80461,0.50188,0.96042,0.55712,0.55257,0.20713,1.02783,0.77703,1.91708e-05,1.91708e-05,1.91708e-05
59,33149.8,0.27542,1.25815,0.80518,0.50204,0.95649,0.55894,0.55421,0.20917,1.02548,0.77705,1.87352e-05,1.87352e-05,1.87352e-05
60,33691.7,0.2776,1.26308,0.8041,0.50162,0.9544,0.5606,0.55601,0.2035,1.02223,0.77648,1.82996e-05,1.82996e-05,1.82996e-05
61,34232.7,0.27445,1.25556,0.80435,0.50212,0.95365,0.561,0.55643,0.20596,1.01779,0.77653,1.7864e-05,1.7864e-05,1.7864e-05
62,34774.9,0.27184,1.24705,0.80329,0.50409,0.95213,0.56305,0.55871,0.2018,1.01704,0.77636,1.74284e-05,1.74284e-05,1.74284e-05
63,35316.7,0.27437,1.24662,0.80372,0.50394,0.95168,0.5642,0.55988,0.20314,1.01252,0.77635,1.69928e-05,1.69928e-05,1.69928e-05
64,35857.2,0.2721,1.24033,0.8045,0.50494,0.95068,0.56566,0.56145,0.20145,1.01134,0.77584,1.65572e-05,1.65572e-05,1.65572e-05
65,36397.3,0.2711,1.2404,0.80315,0.50359,0.95771,0.5674,0.5628,0.20663,1.00996,0.7764,1.61216e-05,1.61216e-05,1.61216e-05
66,36943.9,0.2718,1.24243,0.80328,0.50504,0.94979,0.56948,0.56495,0.2058,1.00566,0.77638,1.5686e-05,1.5686e-05,1.5686e-05
67,37494.7,0.26998,1.22537,0.80321,0.50574,0.9494,0.56973,0.56569,0.20123,1.00378,0.77576,1.52504e-05,1.52504e-05,1.52504e-05
68,38046,0.27004,1.2297,0.80304,0.50735,0.94409,0.57249,0.56833,0.19978,1.00045,0.77565,1.48148e-05,1.48148e-05,1.48148e-05
69,38596.3,0.26856,1.22326,0.80272,0.50794,0.94561,0.5738,0.56961,0.20012,0.99808,0.77546,1.43792e-05,1.43792e-05,1.43792e-05
70,39147.9,0.26883,1.23154,0.80314,0.5096,0.93796,0.57611,0.57202,0.20049,0.99637,0.7756,1.39436e-05,1.39436e-05,1.39436e-05
71,39700.1,0.26724,1.2152,0.80203,0.50991,0.93712,0.57821,0.57417,0.19882,0.99238,0.77545,1.3508e-05,1.3508e-05,1.3508e-05
72,40241.5,0.26542,1.21296,0.80276,0.5111,0.9311,0.57991,0.57598,0.19596,0.98958,0.77473,1.30724e-05,1.30724e-05,1.30724e-05
73,40752.3,0.26771,1.21516,0.8024,0.51388,0.9241,0.58222,0.57813,0.1975,0.99004,0.77516,1.26368e-05,1.26368e-05,1.26368e-05
74,41260.5,0.26577,1.20986,0.80245,0.51456,0.92445,0.58537,0.58134,0.19895,0.98674,0.77502,1.22012e-05,1.22012e-05,1.22012e-05
75,41767.3,0.26688,1.21386,0.80315,0.51626,0.92148,0.58708,0.58335,0.19228,0.98358,0.77446,1.17656e-05,1.17656e-05,1.17656e-05
