epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
81,217283,0.09339,0.10189,0.76746,0.90387,0.90197,0.90266,0.90234,0.06582,0.04599,0.75502,1.04e-05,1.04e-05,1.04e-05
82,219966,0.09298,0.10157,0.76724,0.90388,0.90196,0.90266,0.90235,0.06581,0.04597,0.75502,9.905e-06,9.905e-06,9.905e-06
83,222648,0.09321,0.10138,0.76726,0.90391,0.90197,0.90266,0.90235,0.06577,0.04592,0.75502,9.41e-06,9.41e-06,9.41e-06
84,225330,0.09292,0.10143,0.76723,0.90394,0.90198,0.90266,0.90235,0.06574,0.04594,0.75501,8.915e-06,8.915e-06,8.915e-06
85,228014,0.09269,0.10074,0.76692,0.90395,0.90198,0.90266,0.90235,0.06564,0.04586,0.755,8.42e-06,8.42e-06,8.42e-06
86,230699,0.09291,0.10015,0.76709,0.90391,0.902,0.90266,0.90236,0.06558,0.04589,0.755,7.925e-06,7.925e-06,7.925e-06
87,233382,0.09264,0.10069,0.76743,0.90394,0.90201,0.90266,0.90236,0.0656,0.04587,0.755,7.43e-06,7.43e-06,7.43e-06
88,236069,0.09253,0.10049,0.76714,0.90387,0.90205,0.90266,0.90236,0.06552,0.04588,0.75499,6.935e-06,6.935e-06,6.935e-06
89,238759,0.09283,0.10029,0.76718,0.90389,0.90213,0.90267,0.90237,0.06543,0.04577,0.75499,6.44e-06,6.44e-06,6.44e-06
90,241446,0.09231,0.10017,0.76707,0.90386,0.90219,0.90267,0.90237,0.06542,0.0458,0.75498,5.945e-06,5.945e-06,5.945e-06
91,244117,0.08021,0.05926,0.75513,0.90382,0.90232,0.90266,0.90235,0.06536,0.04579,0.75497,5.45e-06,5.45e-06,5.45e-06
92,246793,0.07962,0.05824,0.75482,0.90386,0.90245,0.90266,0.90234,0.06529,0.0458,0.75496,4.955e-06,4.955e-06,4.955e-06
93,249465,0.07934,0.05768,0.75468,0.90389,0.90251,0.90264,0.90233,0.06519,0.04579,0.75494,4.46e-06,4.46e-06,4.46e-06
94,252142,0.07904,0.05738,0.75483,0.90389,0.90257,0.90264,0.90233,0.06518,0.0458,0.75494,3.965e-06,3.965e-06,3.965e-06
95,254815,0.07915,0.05739,0.75502,0.90394,0.9026,0.90264,0.90233,0.0652,0.04585,0.75493,3.47e-06,3.47e-06,3.47e-06
96,257492,0.07896,0.05722,0.75509,0.90396,0.90263,0.90264,0.90233,0.06516,0.04581,0.75491,2.975e-06,2.975e-06,2.975e-06
97,260171,0.07897,0.05702,0.75479,0.90398,0.90261,0.90263,0.90233,0.06515,0.04579,0.75491,2.48e-06,2.48e-06,2.48e-06
98,262853,0.0787,0.05671,0.75469,0.90396,0.90264,0.90264,0.90234,0.0652,0.04585,0.7549,1.985e-06,1.985e-06,1.985e-06
99,265524,0.07861,0.05652,0.75468,0.90397,0.90264,0.90263,0.90233,0.06527,0.04591,0.7549,1.49e-06,1.49e-06,1.49e-06
100,268196,0.07833,0.05619,0.75479,0.904,0.90263,0.90263,0.90233,0.06524,0.0459,0.75489,9.95e-07,9.95e-07,9.95e-07
